Description_BF,CVE_ID,label_bf,y_predicted,predicted_label,ACC,BFDN,BFCU,BFFX,BFBT,BFSD,BFWD,Unnamed: 12,Description_AF,label_af,y_predicted.1,predicted_label.1,ACC.1,AFCB,AFC,AFBC,AFCF,AFAM,AFF,AFR,AFMS,AFMC,AFDN,AFA,AFMO,AFCN,AFP,AFLH,AFPP,Unnamed: 34,Description_CL,label_cl,predict,label_predict,ACC.2,CLBO,CLBU,CLNP,CLSF,CLOOA,CLUAF,CLCT,CLAV,CLIL,CLML,CLOBO,CLAC,CLDS,CLFR,CLTP,Exist_in_excel
"* parser.c: (xmlParseEndTag2): Add bounds checks before dereferencing ctxt->input->cur past the end of the buffer, or incrementing the pointer past the end of the buffer.",CVE-2016-1838,4,negative,4,1,0,0,0,0,0,0,,"* parser.c: (xmlParseEndTag2): Add bounds checks before dereferencing ctxt->input->cur past the end of the buffer, or incrementing the pointer past the end of the buffer.",2,positive,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,"* parser.c: (xmlParseEndTag2): Add bounds checks before dereferencing ctxt->input->cur past the end of the buffer, or incrementing the pointer past the end of the buffer.",4,positive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
* parser.c: do not load external parsed entities unless needed,CVE-2013-0339,1,positive,1,1,1,0,0,0,0,0,,* parser.c: do not load external parsed entities unless needed,2,positive,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,* parser.c: do not load external parsed entities unless needed,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
* parser.c: do not load external parsed entities unless needed.,CVE-2013-0339,1,positive,1,1,1,0,0,0,0,0,,* parser.c: do not load external parsed entities unless needed.,2,positive,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,* parser.c: do not load external parsed entities unless needed.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
* parserInternals.c: (xmlNextChar): Add an test to catch other issues on ctxt->input corruption proactively.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* parserInternals.c: (xmlNextChar): Add an test to catch other issues on ctxt->input corruption proactively.,2,positive,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,* parserInternals.c: (xmlNextChar): Add an test to catch other issues on ctxt->input corruption proactively.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
* result/errors/758588.xml.err: Ditto.,CVE-2016-1838,4,negative,4,1,0,0,0,0,0,0,,* result/errors/758588.xml.err: Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/758588.xml.err: Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/errors/758588.xml.str: Ditto.,CVE-2016-1838,4,negative,4,1,0,0,0,0,0,0,,* result/errors/758588.xml.str: Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/758588.xml.str: Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/errors/758588.xml: Add test result.,CVE-2016-1838,4,negative,4,1,0,0,0,0,0,0,,* result/errors/758588.xml: Add test result.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/758588.xml: Add test result.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/errors/759020.xml.err: Added.,CVE-2016-1835,4,negative,4,1,0,0,0,0,0,0,,* result/errors/759020.xml.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/759020.xml.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/errors/759020.xml.str: Added.,CVE-2016-1835,4,negative,4,1,0,0,0,0,0,0,,* result/errors/759020.xml.str: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/759020.xml.str: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/errors/759020.xml: Added.,CVE-2016-1835,4,negative,4,1,0,0,0,0,0,0,,* result/errors/759020.xml: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/759020.xml: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/errors/759398.xml.err: Added.,CVE-2016-1836,4,negative,4,1,0,0,0,0,0,0,,* result/errors/759398.xml.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/759398.xml.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/errors/759398.xml.str: Added.,CVE-2016-1836,4,negative,4,1,0,0,0,0,0,0,,* result/errors/759398.xml.str: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/759398.xml.str: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/errors/759398.xml: Added.,CVE-2016-1836,4,negative,4,1,0,0,0,0,0,0,,* result/errors/759398.xml: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/errors/759398.xml: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758605.html.err: Added.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758605.html.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758605.html.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758605.html.err: Added.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758605.html.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758605.html.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758605.html.sax: Added.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758605.html.sax: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758605.html.sax: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758605.html.sax: Added.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758605.html.sax: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758605.html.sax: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758605.html: Added.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758605.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758605.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758605.html: Added.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758605.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758605.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758606.html.err: Added.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758606.html.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758606.html.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758606.html.sax: Added.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758606.html.sax: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758606.html.sax: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758606.html: Added.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758606.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758606.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758606_2.html.err: Added.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758606_2.html.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758606_2.html.err: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758606_2.html.sax: Added.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758606_2.html.sax: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758606_2.html.sax: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* result/HTML/758606_2.html: Added.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* result/HTML/758606_2.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* result/HTML/758606_2.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* runtest.c.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* runtest.c.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* runtest.c.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* runtest.c.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* runtest.c.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* runtest.c.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* test/errors/758588.xml: Add regression test.,CVE-2016-1838,4,negative,4,1,0,0,0,0,0,0,,* test/errors/758588.xml: Add regression test.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* test/errors/758588.xml: Add regression test.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* test/errors/759020.xml: Added test case.,CVE-2016-1835,4,negative,4,1,0,0,0,0,0,0,,* test/errors/759020.xml: Added test case.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* test/errors/759020.xml: Added test case.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* test/errors/759398.xml: Added test case.,CVE-2016-1836,4,negative,4,1,0,0,0,0,0,0,,* test/errors/759398.xml: Added test case.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* test/errors/759398.xml: Added test case.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* test/errors/extparsedent.xml result/errors/extparsedent.xml*:.,CVE-2013-0339,4,negative,4,1,0,0,0,0,0,0,,* test/errors/extparsedent.xml result/errors/extparsedent.xml*:.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* test/errors/extparsedent.xml result/errors/extparsedent.xml*:.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* test/HTML/758605.html: Added.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* test/HTML/758605.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* test/HTML/758605.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* test/HTML/758605.html: Added.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* test/HTML/758605.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* test/HTML/758605.html: Added.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* test/HTML/758606.html: Added test case.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* test/HTML/758606.html: Added test case.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* test/HTML/758606.html: Added test case.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* test/HTML/758606_2.html: Added test case.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,* test/HTML/758606_2.html: Added test case.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* test/HTML/758606_2.html: Added test case.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* xmlregexp.c: (xmlFAParseCharRange): Only advance to the next character if there is no error.,CVE-2016-1840,4,positive,1,0,0,0,0,0,0,0,,* xmlregexp.c: (xmlFAParseCharRange): Only advance to the next character if there is no error.,2,positive,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,* xmlregexp.c: (xmlFAParseCharRange): Only advance to the next character if there is no error.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
* xmlsave.c: xmlBufAttrSerializeTxtContent() if an attribute value is not UTF-8 be more careful when serializing it as we may do an out of bound access as a result.,CVE-2016-4483,4,positive,1,0,0,0,0,0,0,0,,* xmlsave.c: xmlBufAttrSerializeTxtContent() if an attribute value is not UTF-8 be more careful when serializing it as we may do an out of bound access as a result.,2,negative,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,* xmlsave.c: xmlBufAttrSerializeTxtContent() if an attribute value is not UTF-8 be more careful when serializing it as we may do an out of bound access as a result.,4,positive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* xmlstring.c: (xmlStrncat): Return NULL if xmlStrlen returns a negative length.,CVE-2016-1834,4,positive,1,0,0,0,0,0,0,0,,* xmlstring.c: (xmlStrncat): Return NULL if xmlStrlen returns a negative length.,2,positive,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,* xmlstring.c: (xmlStrncat): Return NULL if xmlStrlen returns a negative length.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"[INCLUDE0""<!ENTITYL%%N;' >test.xml $ ./xmllint_asan test.xml Copy of the test case: http://lcamtuf.coredump.cx/afl/demo/libxml2_oob.xml.",CVE-2015-7941,4,negative,4,1,0,0,0,0,0,0,,"[INCLUDE0""<!ENTITYL%%N;' >test.xml $ ./xmllint_asan test.xml Copy of the test case: http://lcamtuf.coredump.cx/afl/demo/libxml2_oob.xml.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"[INCLUDE0""<!ENTITYL%%N;' >test.xml $ ./xmllint_asan test.xml Copy of the test case: http://lcamtuf.coredump.cx/afl/demo/libxml2_oob.xml.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
+ * This stops the parser being put into a bad state later on when there is no + * more input.,CVE-2015-8241,4,positive,1,0,0,0,0,0,0,0,,+ * This stops the parser being put into a bad state later on when there is no + * more input.,4,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,+ * This stops the parser being put into a bad state later on when there is no + * more input.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
+ */ + if (ctxt->instate == XML_PARSER_EOF) + return; + /* * This is only for internal subset.,CVE-2015-8241,4,negative,4,1,0,0,0,0,0,0,,+ */ + if (ctxt->instate == XML_PARSER_EOF) + return; + /* * This is only for internal subset.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,+ */ + if (ctxt->instate == XML_PARSER_EOF) + return; + /* * This is only for internal subset.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
<https://bugzilla.gnome.org/show_bug.cgi?id=757711>.,CVE-2016-1840,4,negative,4,1,0,0,0,0,0,0,,<https://bugzilla.gnome.org/show_bug.cgi?id=757711>.,4,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,<https://bugzilla.gnome.org/show_bug.cgi?id=757711>.,4,positive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
<https://bugzilla.gnome.org/show_bug.cgi?id=758605> Reviewed by David Kilzer.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,<https://bugzilla.gnome.org/show_bug.cgi?id=758605> Reviewed by David Kilzer.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,<https://bugzilla.gnome.org/show_bug.cgi?id=758605> Reviewed by David Kilzer.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
<https://bugzilla.gnome.org/show_bug.cgi?id=758605> Reviewed by David Kilzer.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,<https://bugzilla.gnome.org/show_bug.cgi?id=758605> Reviewed by David Kilzer.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,<https://bugzilla.gnome.org/show_bug.cgi?id=758605> Reviewed by David Kilzer.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"<https://bugzilla.gnome.org/show_bug.cgi?id=759398> * parser.c: (xmlParseNCNameComplex): Store start position instead of a pointer to the name since the underlying buffer may change, resulting in a stale pointer being used.",CVE-2016-1836,4,positive,1,0,0,0,0,0,0,0,,"<https://bugzilla.gnome.org/show_bug.cgi?id=759398> * parser.c: (xmlParseNCNameComplex): Store start position instead of a pointer to the name since the underlying buffer may change, resulting in a stale pointer being used.",2,positive,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<https://bugzilla.gnome.org/show_bug.cgi?id=759398> * parser.c: (xmlParseNCNameComplex): Store start position instead of a pointer to the name since the underlying buffer may change, resulting in a stale pointer being used.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
<https://bugzilla.gnome.org/show_bug.cgi?id=763071>.,CVE-2016-1834,4,negative,4,1,0,0,0,0,0,0,,<https://bugzilla.gnome.org/show_bug.cgi?id=763071>.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,<https://bugzilla.gnome.org/show_bug.cgi?id=763071>.,4,positive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
#ERROR!,CVE-2016-1762,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2015-8242,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2015-7941,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2020-24977,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2016-4483,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2016-4483,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,4,positive,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
#ERROR!,CVE-2015-8317,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2016-1840,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2016-1840,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,4,positive,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
#ERROR!,CVE-2016-1840,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
#ERROR!,CVE-2016-1838,4,negative,4,1,0,0,0,0,0,0,,#ERROR!,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#ERROR!,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
