text,code
PR binutils/21665 bfd * opncls.c (get_build_id): Check that the section is beig enough to contain the whole note.,+  size = bfd_get_section_size (sect);
Fix handling of corrupt STABS enum type strings.,"+      if (*p == 0)
+       {
+         bad_stab (orig);
+         free (names);
+         free (values);
+         return DEBUG_TYPE_NULL;
+       }"
"The disassemble_bytes function in objdump.c in GNU Binutils 2.28 allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of rae insns printing for this file during ""objdump -D"" execution.","-                 if (bpc > 1 && inf->display_endian == BFD_ENDIAN_LITTLE)
-                   {
-                     for (k = bpc - 1; k >= 0; k--)
-                       printf (""%02x"", (unsigned) data[j + k]);
-                     putchar (' ');
-                   }
-                 else"
Fix address violation when disassembling a corrupt binary.,"-                 if (bpc > 1 && inf->display_endian == BFD_ENDIAN_LITTLE)
-                   {
-                     for (k = bpc - 1; k >= 0; k--)
-                       printf (""%02x"", (unsigned) data[j + k]);
-                     putchar (' ');
-                   }
-                 else"
Fix a seg-fault triggered by reading a mal-formed archive.,"       if (amt + 1 == 0)
        goto byebye;"
Prevent invalid array accesses when disassembling a corrupt bfin binary.,"+#define gregs(x, i) REGNAME (decode_gregs[(((i) << 3) | (x)) & 15])"
Check for corrupt NAME:VALUE pairs.,"+      while (*p != ':' && *p != 0)
        ++p;"
Fix null pointer dereference when parsing a corrupt ELF binary.,          idx = (Elf_Internal_Group *) shdr->contents;
(alpha_vms_object_p): Check for a truncated record.,"+               if (psindx < 0 || psindx >= (int) PRIV (section_count))
+                 {
+                   _bfd_error_handler (_(""Corrupt EGSD record: its psindx field is too big (%#lx)""),
+                                       psindx);
+                   bfd_set_error (bfd_error_bad_value);
+                   return FALSE;
+                 }
+               entry->section = PRIV (sections)[psindx];"
Fix handling of corrupt STABS enum type strings.,"+      while (*p != ':' && *p != 0)
        ++p;"
(ihex_bad_byte): Prevent (now impossible to trigger) stack overflow and incorrect escape sequence handling.,-                 char datum = * ((char *) eopt + offset + len);
Check for corrupt NAME:VALUE pairs.,"+      if (*p == 0)
+       {
+         bad_stab (orig);
+         free (names);
+         free (values);
+         return DEBUG_TYPE_NULL;
+       }"
"GNU Binutils 2.28 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to MIPS GOT mishandling in the process_mips_specific function in readelf.c.","-             ent = print_mips_got_entry (data, pltgot, ent, data_end);"
Add sentinel.,"static struct score_opcode score_opcodes[] =
   {0x00000d05, 0x00007f0f, ""tvc!""},
   {0x00000026, 0x3e0003ff, ""xor\t\t%20-24r, %15-19r, %10-14r""},
   {0x00000027, 0x3e0003ff, ""xor.c\t\t%20-24r, %15-19r, %10-14r""},
-  {0x00002007, 0x0000700f, ""xor!\t\t%8-11r, %4-7r""}
+  {0x00002007, 0x0000700f, ""xor!\t\t%8-11r, %4-7r""},
+  { 0, 0, NULL }
 };"
Fix seg-fault reading malformed archive.,+         bfd_ardata (abfd)->extended_names = NULL;
Prevent invalid array accesses when disassembling a corrupt bfin binary.,"+#define regs(x, i) REGNAME (decode_regs[(((i) << 3) | (x)) & 31])"
But it does not forbid directory traversal in the paths.,+         bfd_ardata (abfd)->extended_names_size = 0;
Pass num_syms to target_specific_reloc_handling.," static bfd_boolean
 target_specific_reloc_handling (Elf_Internal_Rela * reloc,
                                unsigned char *     start,
                                unsigned char *     end,
+                               Elf_Internal_Sym *  symtab,
+                               unsigned long       num_syms)"
Fix address violation when disassembling a corrupt binary.,"-                     for (k = 0; k < bpc; k++)
-                       printf (""%02x"", (unsigned) data[j + k]);"
I have checked in a small patch that adds a check for a NULL buffer pointer and then repsonds appropriately.,"+      if (buf == NULL)
+       {
+         return TRUE;
+       }"
"PR binutils/18750 * ihex.c (ihex_scan): Fixes incorrect escape sequence in error message and stack overflow when char is signed and \\200-\\376 was in place of hex digit; also fixes \\377 was handled as EOF instead of ""incorrect character"".","-       sprintf (buf, ""\\%03o"", (unsigned int) c);"
"GNU Binutils 2.28 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to MIPS GOT mishandling in the process_mips_specific function in readelf.c.","-         if (byte_get (data + ent - pltgot, addr_size)
-             >> (addr_size * 8 - 1) != 0)"
Sang Kil Cha discovered that _objalloc_alloc does not guard the addition of CHUNK_HEADER_SIZE to the length against overflow.,   len = (len + OBJALLOC_ALIGN - 1) &~ (OBJALLOC_ALIGN - 1);
Fix address violations when atempting to parse fuzzed binaries.,-  if (bfd_get_section_size (sect) < 0x24)
 > * compress.c (bfd_get_full_section_contents): Check for and reject > a section whoes size is greater than the size of the entire file.,"+  if (size < sizeof (Elf_External_Note))
+    {
+      bfd_set_error (bfd_error_invalid_operation);
+      free (contents);
+      return NULL;
+    }"
Exit early if passed an empty string.,"+  if (*orig == 0)
+    return (bfd_vma) 0;"
PR 21933 * elf.c (elf_read_notes): Check for a note size of -1.,-  if (size <= 0)
"readelf in GNU Binutils 2.28 writes to illegal addresses while processing corrupt input files containing symbol-difference relocations, leading to a heap-based buffer overflow.","+           if (start + reloc->r_offset + 4 >= end)
+             error (_(""RL78 sym diff reloc writes past end of section (%p vs %p)\n""),
+                    start + reloc->r_offset + 2, end);
+           else
+             byte_put (start + reloc->r_offset, value, 4);"
Clip index to prevent overflow.,"+#define gregs(x, i) REGNAME (decode_gregs[(((i) << 3) | (x)) & 15])"
Fix seg-fault reading malformed archive.,"+      if (amt > (bfd_size_type) bfd_get_size (abfd))
+       goto byebye;"
Use a static buffer to avoid compiler bugs.,+  static unsigned char buffer[300];
PR binutils/22018 * elf32-i386.c (elf_i386_get_synthetic_symtab): Check for valid PLT section size.,"+      if (plts[j].type == plt_unknown
+         && (plt->size >= (lazy_plt->plt0_entry_size
+                           + lazy_plt->plt_entry_size)))"
readelf: Fix overlarge memory allocation when reading a binary with an excessive number of program headers.,"+  phdrs = (Elf_Internal_Phdr *) cmalloc (elf_header.e_phnum,
+                                        sizeof (Elf_Internal_Phdr));"
Fix seg-fault reading malformed archive.,+         bfd_ardata (abfd)->extended_names_size = 0;
Detect over large section offsets in the DT_SYMTAB entry.,"+         if ((bfd_size_type) section.sh_offset > current_file_size)
+           {
+             /* See PR 21379 for a reproducer.  */
+             error (_(""Invalid DT_SYMTAB entry: %lx""), (long) section.sh_offset);
+             return FALSE;
+           }"
Pass num_syms to target_specific_reloc_handling.,"+       if (reloc == NULL)
+         {
+           saved_sym = NULL;
+           return TRUE;
+         }"
"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, does not validate the PLT section size, which allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to elf_i386_get_synthetic_symtab in elf32-i386.c and elf_x86_64_get_synthetic_symtab in elf64-x86-64.c.",-      if (plt == NULL)
Update check for invalid word offsets in ARM unwind information.,"+  if (
+      sec->sh_size < 4
+      || word_offset > (sec->sh_size - 4)
       || ((bfd_signed_vma) word_offset) < 0)
     return FALSE;"
(alpha_vms_object_p): Check for a truncated record.,+       (alpha_vms_object_p): Check for a truncated record.
"I have investigated alpha-heap-overflow, and there the fix is to check that `PRIV (recrd.rec_size) > test_len` before reading the remaining record.","+         if (res == res_base)
+           return FALSE;"
Clip index to prevent overflow.,"+#define regs_lo(x, i) REGNAME (decode_regs_lo[(((i) << 3) | (x)) & 31])"
Check valid bnd register.,"+      if (reg > 0x3)
+       {
+         oappend (""(bad)"");
+         return;
+       }"
The elf_read_notesfunction in bfd/elf.c in GNU Binutils 2.29 allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file.,"   if (bfd_seek (abfd, offset, SEEK_SET) != 0)"
Fix stack buffer overflows when parsing corrupt ihex files.,-      char hdr[8];
PR binutils/21580 binutils * objdump.c (disassemble_bytes): Check for buffer overrun when printing out rae insns.,"-                     for (k = 0; k < bpc; k++)
-                       printf (""%02x"", (unsigned) data[j + k]);"
PR binutils/21591 * versados.c (versados_mkobject): Zero the allocated tdata structure.,"+      tdata_type *tdata = bfd_zalloc (abfd, amt);"
(alpha_vms_object_p): Check for a truncated record.,"+               if (psindx < 0 || psindx >= (int) PRIV (section_count))
+                 {
+                   _bfd_error_handler (_(""Corrupt EGSD record: its psindx field is too big (%#lx)""),
+                                       psindx);
+                   bfd_set_error (bfd_error_bad_value);
+                   return FALSE;
+                 }
+               entry->section = PRIV (sections)[psindx];"
PR binutils/21157 * stabs.c (parse_stab_enum_type): Check for corrupt NAME:VALUE pairs.,"+      while (*p != ':' && *p != 0)
        ++p;"
Fix a seg-fault triggered by reading a mal-formed archive.,       bfd_ardata (abfd)->extended_names_size = amt;
"When (rloc = start + rp->r_offset) == 0xFFFFFFFF in line 13347, rloc + reloc_size will cause integer overflow in line 13348.",-	  if ((rloc + reloc_size) > end || (rloc < start))
Fix out of bounds memory access when trying to allocate space for a note of size -1.,-  if (size <= 0)
Running size (or gdb and probably others) on the reproducer results in a buffer stack overflow.,"-       sprintf (buf, ""\\%03o"", (unsigned int) c);"
"Date: Wed, 29 Aug 2012 20:11:50 +0200 From: Florian Weimer <fw@...eb.enyo.de> To: oss-security@...ts.openwall.com Subject: CVE-2012-3509: objalloc_alloc integer overflows in libiberty Sang Kil Cha discovered that _objalloc_alloc does not guard the addition of CHUNK_HEADER_SIZE to the length against overflow.","+  if (len + CHUNK_HEADER_SIZE < original_len)
+    return NULL;"
"GNU Binutils 2017-04-03 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash), related to the process_mips_specific function in readelf.c, via a crafted ELF file that triggers a large memory-allocation attempt.","       iconf = (Elf32_Conflict *) cmalloc (conflictsno, sizeof (* iconf));"
Pass num_syms to target_specific_reloc_handling.,"+  if (reloc)
+    {
+      reloc_type = get_reloc_type (reloc->r_info);
+      sym_index = get_reloc_symindex (reloc->r_info);
+    }"
PR binutils/22018 * elf32-i386.c (elf_i386_get_synthetic_symtab): Check for valid PLT section size.,"+      if (plts[j].type == plt_unknown
+         && (plt->size >= (lazy_plt->plt_entry_size
+                           + lazy_plt->plt_entry_size)))"
"PR binutils/18750 * ihex.c (ihex_scan): Fixes incorrect escape sequence in error message and stack overflow when char is signed and \\200-\\376 was in place of hex digit; also fixes \\377 was handled as EOF instead of ""incorrect character"".",-                 char datum = * ((char *) eopt + offset + len);
"Error in ""OP_G"": global-buffer-overflow",       oappend (names64[modrm.reg + add]);
"opcodes/i386-dis.c in GNU Binutils 2.28 does not consider the number of registers for bnd mode, which allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution.","+      if (modrm.reg > 0x3)
+       {
+         oappend (""(bad)"");
+         return;
+       }"
Check for the source pointer exceeding the end pointer before the first byte is read.,"+  if (src >= endp)
+    return FALSE;"
Running size (or gdb and probably others) on the reproducer results in a buffer stack overflow.,-                 char datum = * ((char *) eopt + offset + len);
(ihex_bad_byte): Prevent (now impossible to trigger) stack overflow and incorrect escape sequence handling.,"-       sprintf (buf, ""\\%03o"", (unsigned int) c);"
Check for symbol table overflow before accessing symbol value.,"+           if (sym_index >= num_syms)
+             error (_(""MSP430 SYM_DIFF reloc contains invalid symbol index %lu\n""),
+                    sym_index);
+           else
+             saved_sym = symtab + sym_index;
            return TRUE;"
* vms-alpha.c (_bfd_vms_slurp_eihd): Make sure that there is enough data in the record before attempting to parse it.,"+               if (psindx < 0 || psindx >= (int) PRIV (section_count))
+                 {
+                   _bfd_error_handler (_(""Corrupt EGSD record: its psindx field is too big (%#lx)""),
+                                       psindx);
+                   bfd_set_error (bfd_error_bad_value);
+                   return FALSE;
+                 }
+               entry->section = PRIV (sections)[psindx];"
Fix handling of corrupt STABS enum type strings.,"       name = savestring (*pp, p - *pp);"
"If reloc pointer is NULL, discard all saved state.","+       if (reloc == NULL)
+         {
+           saved_sym = NULL;
+           return TRUE;
+         }"
ld * testsuite/ld-nds32/diff.d: Adjust expected output.,"+                     if (inf->display_endian == BFD_ENDIAN_LITTLE)
+                       {
+                         for (k = bpc - 1; k >= 0; k--)
+                           printf (""%02x"", (unsigned) data[j + k]);
+                       }
+                     else
+                       {
+                         for (k = 0; k < bpc; k++)
+                           printf (""%02x"", (unsigned) data[j + k]);
+                       }"
==12394==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x6020000000f1 at pc 0x000000433332 bp 0x7ffda722aff0 sp 0x7ffda722a780,"          if (memcmp (plt_contents, non_lazy_plt->plt_entry,"
"If reloc pointer is NULL, discard all saved state.","+       if (reloc == NULL)
+         {
+           saved_sym = NULL;
+           return TRUE;
+         }"
* compress.c (bfd_get_full_section_contents): Check for and reject a section whoes size is greater than the size of the entire file.,"   if (inote.descsz == 0
       || inote.type != NT_GNU_BUILD_ID
       || inote.namesz != 4 
+      || strncmp (inote.namedata, ""GNU"", 4) != 0
+      || size < (12 + BFD_ALIGN (inote.namesz, 4) + inote.descsz))"
* vms-alpha.c (_bfd_vms_slurp_eihd): Make sure that there is enough data in the record before attempting to parse it.,"+               if (psindx < 0 || psindx >= (int) PRIV (section_count))
+                 {
+                   _bfd_error_handler (_(""Corrupt EGSD record: its psindx field is too big (%#lx)""),
+                                       psindx);
+                   bfd_set_error (bfd_error_bad_value);
+                   return FALSE;
+                 }
+               entry->section = PRIV (sections)[psindx];"
But it does not forbid directory traversal in the paths.,+         bfd_ardata (abfd)->extended_names = NULL;
(_bfd_vms_slurp_egsd): Check for an invalid section index.,"+         if (res == res_base)
+           return FALSE;"
Check for buffer overrun when printing out rae insns.,"+                     if (inf->display_endian == BFD_ENDIAN_LITTLE)
+                       {
+                         for (k = bpc - 1; k >= 0; k--)
+                           printf (""%02x"", (unsigned) data[j + k]);
+                       }
+                     else
+                       {
+                         for (k = 0; k < bpc; k++)
+                           printf (""%02x"", (unsigned) data[j + k]);
+                       }"
PR binutils/21345 * readelf.c (get_program_headers): Check for there being too many program headers before attempting to allocate space for them.,"+  phdrs = (Elf_Internal_Phdr *) cmalloc (elf_header.e_phnum,
+                                        sizeof (Elf_Internal_Phdr));"
PR 21813 binutils* rddbg.c (read_symbol_stabs_debugging_info): Check for an empty string whilst concatenating symbol names.,"+                   if (psindx < 0 || psindx >= (int) PRIV (section_count))
+                     {
+                       _bfd_error_handler (_(""Corrupt EGSD record: its psindx field is too big (%#lx)""),
+                                           psindx);
+                       bfd_set_error (bfd_error_bad_value);
+                       return FALSE;
+                     }
+                    entry->code_section = PRIV (sections)[psindx];"
"Fix read-after-free error in readelf when processing multiple, relocated sections in an MSP430 binary.","-         if (target_specific_reloc_handling (rp, start, end, symtab))"
(rl78_decode_opcode): Use OP_BUF_LEN as the length of the op_buf array.,+  unsigned char op_buf[OP_BUF_LEN] = {0};
Catch an unfeasible memory allocation before it happens and print a suitable error message.,"+      if (conflictsno * sizeof (* iconf) > current_file_size)
+       {
+         error (_(""Overlarge number of conflicts detected: %lx\n""),
+                (long) conflictsno);
+         return FALSE;
+       }"
Use a static buffer to avoid compiler bugs.,+  static unsigned char buffer[512];
binutils* objdump.c (disassemble_section): Skip any section that is bigger than the entire file.,"   if (inote.descsz == 0
       || inote.type != NT_GNU_BUILD_ID
       || inote.namesz != 4 
+      || strncmp (inote.namedata, ""GNU"", 4) != 0
+      || size < (12 + BFD_ALIGN (inote.namesz, 4) + inote.descsz))"
"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, does not validate the PLT section size, which allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to elf_i386_get_synthetic_symtab in elf32-i386.c and elf_x86_64_get_synthetic_symtab in elf64-x86-64.c.","+      if (plt == NULL || plt->size == 0)
        continue;"
"readelf.c in GNU Binutils 2017-04-12 has a ""shift exponent too large for type unsigned long"" issue, which might allow remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact via a crafted ELF file.",-       unsigned long  val = 0;
"The process_otr function in bfd/versados.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, does not validate a certain offset, which allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution.","+         if (srcp + esdids + offsetlen >= endp)
+           return;"
"fix out of range subtraction, seg fault from a NULL pointer and memory exhaustion, all from parsing corrupt binaries.",-  if (saved_file == NULL || file != saved_file)
"GNU Binutils 2.28 allows remote attackers to cause a denial of service (memory consumption) via a crafted ELF file with many program headers, related to the get_program_headers function in readelf.c.","+  phdrs = (Elf_Internal_Phdr *) cmalloc (elf_header.e_phnum,
+                                        sizeof (Elf_Internal_Phdr));"
"readelf: fix out of range subtraction, seg fault from a NULL pointer and memory exhaustion, all from parsing corrupt binaries.","       iconf = (Elf32_Conflict *) cmalloc (conflictsno, sizeof (* iconf));"
PR binutils/21665 bfd * opncls.c (get_build_id): Check that the section is beig enough to contain the whole note.,+  if (size < 0x24)
"readelf in GNU Binutils 2.28 writes to illegal addresses while processing corrupt input files containing symbol-difference relocations, leading to a heap-based buffer overflow.","+               if (start + reloc->r_offset + reloc_size >= end)
+                 error (_(""MSP430 sym diff reloc writes past end of section (%p vs %p)\n""),
+                        start + reloc->r_offset + reloc_size, end);
+               else
+                 byte_put (start + reloc->r_offset, value, reloc_size);"
Joshua Rogers reported a stack buffer overflow in ihex.c (ihex_bad_byte).,-                 char datum = * ((char *) eopt + offset + len);
"PR binutils/18750 * ihex.c (ihex_scan): Fixes incorrect escape sequence in error message and stack overflow when char is signed and \\200-\\376 was in place of hex digit; also fixes \\377 was handled as EOF instead of ""incorrect character"".",-         char hdr[8];
"Unavailable data is handled gracefully in MIPS GOT processing done by `print_mips_got_entry', so all that is needed in special GOT[1] handling is to verify whether data can be retrieved for the purpose of the GNU marker check done with `byte_get'.","+      if (data
+         && data + ent - pltgot + addr_size <= data_end
+         && (byte_get (data + ent - pltgot, addr_size)
+             >> (addr_size * 8 - 1)) != 0)"
Use to check for corrupt pair relocs.,"+         if (res == res_base)
+           return FALSE;"
PR other/54411: integer overflow in objalloc_alloc 2012-09-18 Florian Weimer <fweimer@redhat.com> PR other/54411 * objalloc.h (objalloc_alloc): Do not use fast path on wraparound.,"+  if (len + CHUNK_HEADER_SIZE < original_len)
+    return NULL;"
ihex.c in GNU Binutils before 2.26 contains a stack buffer overflow when printing bad bytes in Intel Hex objects.,-      char hdr[8];
==14591==ERROR: AddressSanitizer: heap-buffer-overflow on address 0xf4c00bf4 at pc 0xf72e3c75 bp 0xffa3a548 sp 0xffa3a11c.,"   inote.namesz = H_GET_32 (abfd, enote->namesz);"
PR binutils/21157 * stabs.c (parse_stab_enum_type): Check for corrupt NAME:VALUE pairs.,"+      if (*p == 0)
+       {
+         bad_stab (orig);
+         free (names);
+         free (values);
+         return DEBUG_TYPE_NULL;
+       }"
Prevent address violation problem when disassembling corrupt aarch64 binary.,"+  if (value >= ARRAY_SIZE (data))
+    return 0;"
ihex.c in GNU Binutils before 2.26 contains a stack buffer overflow when printing bad bytes in Intel Hex objects.,"-       sprintf (buf, ""\\%03o"", (unsigned int) c);"
"Multiple integer overflows in the (1) _objalloc_alloc function in objalloc.c and (2) objalloc_alloc macro in include/objalloc.h in GNU libiberty, as used by binutils 2.22, allow remote attackers to cause a denial of service (crash) via vectors related to the ""addition of CHUNK_HEADER_SIZE to the length,"" which triggers a heap-based buffer overflow.",   len = (len + OBJALLOC_ALIGN - 1) &~ (OBJALLOC_ALIGN - 1);
PR binutils/20892 * aoutx.h (find_nearest_line): Handle the case where the function name is empty.,"+      if (buf == NULL)
+       {
+         return TRUE;
+       }"
"opcodes/rl78-decode.opc in GNU Binutils 2.28 has an unbounded GETBYTE macro, which allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution.",-#define GETBYTE() (ld->op [ld->rl78->n_bytes++] = ld->getbyte (ld->ptr))
"opcodes/i386-dis.c in GNU Binutils 2.28 does not consider the number of registers for bnd mode, which allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution.",       oappend (names_bnd[modrm.reg]);
"Error in ""OP_G"": global-buffer-overflow",       oappend (names_bnd[modrm.reg]);
"The ieee_object_p function in bfd/ieee.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, might allow remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution.",-  unsigned char buffer[300];
Check for the index exceeding OP_BUF_LEN.,+#define GETBYTE() (ld->rl78->n_bytes < (OP_BUF_LEN - 1) ? ld->op [ld->rl78->n_bytes++] = ld->getbyte (ld->ptr): 0)
"GNU assembler in GNU Binutils 2.28 is vulnerable to a global buffer overflow (of size 1) while attempting to unget an EOF character from the input stream, potentially leading to a program crash.","+             else if (ch2 != EOF)
                {
                  UNGET (ch2);
                }"
"The _bfd_vms_slurp_etir function in bfd/vms-alpha.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution.",+      if (cmd_length < 4 || (ptr + cmd_length > maxptr + 4))
Clip index to prevent overflow.,"+#define regs_hi(x, i) REGNAME (decode_regs_hi[(((i) << 3) | (x)) & 31])"
"The ieee_archive_p function in bfd/ieee.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, might allow remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution.",-  unsigned char buffer[512];
"Remove the extra error reporting code then, introduced with commit 75ec1fdbb797 (""Fix runtime seg-fault in readelf when parsing a corrupt MIPS binary."")",-         if (data + ent - pltgot > data_end - addr_size)
PR gas/20898 * app.c (do_scrub_chars): Do not attempt to unget EOF.,"+             else if (ch2 != EOF)
                {
                  UNGET (ch2);
                }"
binutils* objdump.c (disassemble_section): Skip any section that is bigger than the entire file.,"+  if (size < sizeof (Elf_External_Note))
+    {
+      bfd_set_error (bfd_error_invalid_operation);
+      free (contents);
+      return NULL;
+    }"
binutils* objdump.c (disassemble_section): Skip any section that is bigger than the entire file.,+  size = bfd_get_section_size (sect);
Fix stack buffer overflow when printing bad bytes in Intel Hex objects.,-                 char datum = * ((char *) eopt + offset + len);
readelf: Update check for invalid word offsets in ARM unwind information.,"+  if (
+      sec->sh_size < 4
+      || word_offset > (sec->sh_size - 4)
       || ((bfd_signed_vma) word_offset) < 0)
     return FALSE;"
"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, does not validate the PLT section size, which allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to elf_i386_get_synthetic_symtab in elf32-i386.c and elf_x86_64_get_synthetic_symtab in elf64-x86-64.c.","-                 && (memcmp (plt_contents + lazy_ibt_plt->plt_entry_size,"
 > * compress.c (bfd_get_full_section_contents): Check for and reject > a section whoes size is greater than the size of the entire file.,"   if (inote.descsz == 0
       || inote.type != NT_GNU_BUILD_ID
       || inote.namesz != 4 
+      || strncmp (inote.namedata, ""GNU"", 4) != 0
+      || size < (12 + BFD_ALIGN (inote.namesz, 4) + inote.descsz))"
"Error in ""sh_elf_set_mach_from_flags"": global-buffer-overflow",-  if (flags >= sizeof(sh_ef_bfd_table))
PR binutils/21379 * readelf.c (process_dynamic_section): Detect over large section offsets in the DT_SYMTAB entry.,"+      if (conflictsno * sizeof (* iconf) > current_file_size)
+       {
+         error (_(""Overlarge number of conflicts detected: %lx\n""),
+                (long) conflictsno);
+         return FALSE;
+       }"
PR 21957 * elf.c (setup_group): Check for an empty or very small group section.,"+         if (idx == NULL || shdr->sh_size < 4)
+           {
+             _bfd_error_handler (_(""%B: group section '%A' has no contents""),
+                                 abfd, shdr->bfd_section);
+             elf_tdata (abfd)->group_sect_ptr[i] = NULL;
+             bfd_set_error (bfd_error_bad_value);
+             return FALSE;
+           }"
Fix a seg-fault disassembling a corrupt binary.,"+      if (buf == NULL)
+       {
+         return TRUE;
+       }"
"I have investigated alpha-heap-overflow, and there the fix is to check that `PRIV (recrd.rec_size) > test_len` before reading the remaining record.","+      if (PRIV (recrd.rec_size < test_len))
+       goto error_ret;"
"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, does not validate the PLT section size, which allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to elf_i386_get_synthetic_symtab in elf32-i386.c and elf_x86_64_get_synthetic_symtab in elf64-x86-64.c.","+      if (plts[j].type == plt_unknown
+         && (plt->size >= (lazy_plt->plt0_entry_size
+                           + lazy_plt->plt_entry_size)))"
"GNU Binutils 2.28 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to MIPS GOT mishandling in the process_mips_specific function in readelf.c.","-             error (_(""Invalid got entry - %#lx - overflows GOT table\n""),
-                    (long) ent);"
Pass num_syms to target_specific_reloc_handling.,"+                   if (start + reloc->r_offset + reloc_size >= end)
+                     error (_(""MSP430 sym diff reloc writes past end of section (%p vs %p)\n""),
+                            start + reloc->r_offset + reloc_size, end);"
> > binutils* objdump.c (disassemble_section): Skip any section that is > bigger > than the entire file.,+  size = bfd_get_section_size (sect);
